ENGLISH,TRANSLATED HINDI,,corrected hindi 
what flights are there from memphis to las vegas,जो कि मेम्फिस से लास वेगास,,मेम्फिस से लास वेगास तक कौन सी उड़ानें हैं
what flights from washington to toronto,"तक की उड़ानें हैं, वाशिंगटन से टोरंटो तक की उड़ानें चार्लोटे से लास वेगास तक की उड़ानें पाती",,वॉशिंगटन से टोरंटो के लिए क्या उड़ानें
find a flight from charlotte to las vegas that stop in st. louis that serve dinner and i want to find the airline for this flight,हैं सेंट में रुको लुईस जो रात्रिभोज परोसता है और मैं इस उड़ान के लिए एयरलाइन ढूंढना चाहता हूं,,चार्लोट से लास वेगास तक की उड़ान खोजें जो सेंटलुइस  में रुकती है।जो रात के खाने की सेवा प्रदान   करते हैं और मैं इस उड़ान के लिए एयरलाइन ढूंढना चाहता हूं
what 's the earliest flight from san jose to houston,", सैन जोस से हॉस्टन के लिए सबसे पुरानी उड़ान",,सैन जोस से हॉस्टन तक की शुरुआती उड़ान क्या है
how much does flight dl 402 from denver to philadelphia cost,क्या है,,डेनवर से फिलाडेल्फिया लागत के लिए उड़ान dl 402 कितना है
what is the last flight of the day to leave baltimore for boston,डेनवर से फिलाडेल्फिया की उड़ान डीएल 402 कितनी है बोस्टन,,बॉस्टन के लिए बाल्टिमोर छोड़ने के लिए दिन की अंतिम उड़ान क्या है
show me airlines with flights from pittsburgh to boston please,शो के लिए बाल्टिमोर छोड़ने के लिए दिन की आखिरी उड़ान क्या है मुझे पिट्सबर्ग से बोस्टन तक उड़ानों के साथ एयरलाइंस कृपया,,कृपया मुझे पिट्सबर्ग से बोस्टोन तक की उड़ानों के साथ एयरलाइंस दिखाएं
first class from detroit to st. petersburg,डेट्रोइट से सेंट तक पहली कक्षा कृपया । petersburg,,डेट्रायट से सेंट पीटर्सबर्ग तक प्रथम श्रेणी।
i want to go from san francisco to denver ,मैं सैन फ्रांसिस्को से डेनवर जाना चाहता हूँ,,मैं सैन फ्रांसिस्को से डेनवर जाना चाहता हूँ
find the earliest flight from boston to san francisco that serves a meal,बोस्टन से सैन फ्रांसिस्को की सबसे पुरानी उड़ान भोजन परोसता है,,बुस्टोन से सान फ्रेंकोस्को की सबसे पहली उड़ान खोजें जो भोजन परोसता है
find travel arrangements for a round trip flight from dallas to pittsburgh,7:00 से 2 बजे के बीच पिट्सबर्ग उड़ानों तक उड़ानें,,डलास से पिट्सबर्ग के लिए गोल यात्रा उड़ान के लिए यात्रा व्यवस्था खोजें
show me flights from milwaukee to orlando on wednesday night or thursday morning,डलास से पिट्सबर्ग तक एक राउंड ट्रिप फ्लाइट के लिए यात्रा की व्यवस्था ढूंढें,,मुझे मिल्वौकी से ऑरलैंडो के लिए बुधवार रात या गुरुवार सुबह की  फ्लाइट दिखाएं
does dl stand for delta,मुझे बुधवार की रात को मिल्वौकी से ऑरलैंडो तक उड़ानें दिखाएं या गुरुवार की सुबह,,डेल्टा के लिए dl स्टैंड है
list all flights leaving denver on continental on sunday after 2134,डेल्टा,,एक्किश बज के चौतीश मिनट  के बाद रविवार को महाद्वीपीय पर सभी फ्लाइट्स को छोड़ दें
listing of all first class flights from washington to san francisco,सूची के लिए डीएल स्टैंड दिखाएं 2134 के बाद रविवार को महाद्वीपीय पर डेनवर छोड़ने वाली सभी उड़ानें,,वॉशिंगटन से सैन फ्रांसिस्को तक सभी प्रथम श्रेणी उड़ानों की सूची
give me nonstop flights from new york city to las vegas,वाशिंगटन से सभी प्रथम श्रेणी की उड़ानों की सूची सैन फ्रांसिस्को,,मुझे न्यू यॉर्क शहर से लास वेगास तक नॉनस्टॉप उड़ानें दें
i 'd like to book a flight from denver to pittsburgh and i 'd like to go on eastern airlines,मुझे लास वेगास के लिए न्यू यॉर्क शहर से नॉनस्टॉप उड़ानें देना,,मैं डेनवर से पिट्सबर्ग के लिए  फ्लाइट बुक करना चाहता हूं और मुझे ईस्टर्न एयरलाइंस में जाना पसंद है
show me the flights on friday from newark to tampa,मैं पिट्सबर्ग के लिए डेनवर से उड़ान बुक करना चाहते हैं और मैं 'पूर्वी एयरलाइनों पर जाने के लिए चाहते हैं,,मुझे शुक्रवार को नेवार्क से तम्पा तक की उड़ानें दिखाएं
flights from pittsburgh to baltimore between 10 am and 2 pm,मुझे नेवार्क से टैम्पा के लिए शुक्रवार को उड़ानें दिखा,,रात  दस से दो  बजे के बीच पिट्सबर्ग से बाल्टिमोर तक उड़ानें
what is the schedule of flights from boston to denver next monday,की अनुसूची है क्या अगले सोमवार को बोस्टन से डेनवर की,,अगले सोमवार से बॉस्टन के लिए उड़ानों की अनुसूची क्या है
show me all direct flights from san francisco to boston departing before noon,"उड़ानें मुझे सैन फ्रांसिस्को से बोस्टन तक सभी सीधी उड़ानें दिखाती हैं, दोपहर से पहले",,दोपहर से पहले सैन फ्रान्सिस्को से बोस्टोन प्रस्थान के लिए मुझे सभी डायरेक्ट  उड़ानें दिखाएं
what are all the available meals,सभी उपलब्ध भोजन क्या हैं,,सभी उपलब्ध भोजन क्या हैं
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas,"मुझे डलास से शुरू होने वाले बाल्टिमोर में चौदहवें जून में सबसे सस्ती उड़ान दिखाती है, मुझे",,मुझे  चौदह जून  पर सबसे सस्ती उड़ान  दिखाए डलास से शुरू होकर बाल्टिमोर में प्रस्थान करने वाला 
i need a flight from san francisco to boston that leaves after 7 am,सैन फ्रांसिस्को से बोस्टन तक उड़ान की आवश्यकता है जो,,मुझे सैन फ्रेंकोस्को से बोस्टोन तक  उड़ान की आवश्यकता है जो सुबह  सात   बजे के बाद निकलती है
from philadelphia to toronto,फिलाडेल्फिया से टोरंटो तक 7 बजे के बाद छोड़ती,,फिलाडेल्फिया से टोरंटो तक
what is the cheapest fare from washington to san francisco,"है, जो सबसे सस्ती किराया है सैन फ्रांसिस्को के लिए वाशिंगटन",,वॉशिंगटन से सैन फ्रांसिस्को के लिए सबसे सस्ता किराया क्या है
what flights are there from new york city to las vegas,क्या उड़ानें लास वेगास के लिए न्यू यॉर्क शहर से देखते हैं,,न्यू यॉर्क शहर से लास वेगास के लिए कौन सी उड़ानें हैं
what is the first flight from boston to atlanta,अटलांटा के लिए बोस्टन से पहली उड़ान है क्या,,बोस्टन से अट्लंता तक की पहली उड़ान कौन सी है
please give me flight schedules from baltimore to philadelphia,मुझे बाल्टीमोर से फिलाडेल्फिया के लिए उड़ान शेड्यूल दे कृपया,,कृपया मुझे बाल्टिमोर से फिलाडेल्फिया तक फ्लाइट शेड्यूल दें
what flights from kansas city to denver after 845 in the morning,क्या सुबह में 845 के बाद डेन्वर करने के लिए कैंसास सिटी से उड़ानें,,सुबहआठ बज के पैंतालीस मिनट  के बाद कंसास शहर से कौन सी फ्लाइट्स डेनिवर के लिए उड़ान भरती हैं
what is the ground transportation from boston airport to boston downtown,क्या जमीनी परिवहन है बोस्टन एयरपोर्ट,,बॉस्टन हवाई अड्डे से बॉस्टन शहर के लिए जमीन परिवहन क्या है
from los angeles to phoenix on a friday,से लॉस एंजिल्स से फीनिक्स तक डाउनटाउन से शुक्रवार,,लॉस एंजिल्स से फीनिक्स के लिए  शुक्रवार को
dallas to oakland monday,डलास से ओकलैंड सोमवार तक,,डलास से  ओकलैंड के लिए सोमवार पर 
all flights from boston to washington dc on november eleventh,नवम्बर ग्यारहवें पर वॉशिंगटन डीसी के लिए बोस्टन से सभी उड़ानों,, नवंबर  ग्यारहवें पर बॉस्टन से वॉशिंगटन डीसी तक सभी उड़ानें
could you please find me a nonstop flight from atlanta to baltimore on a boeing 757 arriving at 7 pm,क्या आप मुझे 7 बजे पहुंचने नॉनस्टॉप एक बोइंग 757 पर बाल्टीमोर के लिए अटलांटा से उड़ान मिल सकता है,,"क्या आप मुझे  एटलांटा  से बाल्टिमोर तक  नॉनस्टॉप फ्लाइट दे सकते हैं, सात बजे बोइंग 757 पर "
what are the flights available in the morning between boston and denver,क्या बोस्टन और डेनवर के बीच सुबह में उड़ानों उपलब्ध हैं,,बोस्टोन और डेनिवर के बीच सुबह में उपलब्ध उड़ानें क्या हैं
ground transportation in dallas and boston,डलास और बोस्टन में जमीनी परिवहन,,डलास और बॉस्टन में जमीनी परिवहन
what flights are available from atlanta to oakland with one way economy fares,क्या उड़ानें अटलांटा से एक तरह से अर्थव्यवस्था किरायों के साथ ओकलैंड के लिए उपलब्ध हैं,,एकतरफा अर्थव्यवस्था  किराये के साथ कौन सी उड़ानें अटलांटा से ओकलैंड के लिए उपलब्ध हैं
do you have a flight from atlanta to boston that will stop in washington,आप बोस्टन के लिए अटलांटा से एक उड़ान है कि वाशिंगटन में बंद हो जाएगा की क्या ज़रूरत है,,क्या आपके पास एटलांटा से बोस्टोन तक की उड़ान है जो वॉशिंगटन में रुक जाएगी
i live in denver and i 'd like to make a trip to atlanta,मैं डेनवर में रहते हैं और 'मैं अटलांटा के लिए एक यात्रा बनाने के लिए चाहते हैं,,मैं डेनवर में रहता हूं और मैं एटलांटा की यात्रा करना पसंद करता हूं
show me the united flights from denver to baltimore,मुझे बाल्टीमोर के लिए डेनवर से एकजुट उड़ानें दिखा,,मुझे डेनवर से बाल्टिमोर तक यूनाइटेड  उड़ानों को दिखाएं
is bwi washington,रहा है बीवी वाशिंगटन,,bwi वॉशिंगटन है
list the flights from new york to miami on a tuesday which are nonstop and cost less than 466 dollars,ने न्यू यॉर्क से मियामी की उड़ानें एक ट्यूज़डे पर सूचीबद्ध की हैं जो नॉनस्टॉप हैं और 466 डॉलर से कम लागत,,न्यू यॉर्क से मियामी तक की उड़ानों को टेमंगलवार पर सूचीबद्ध करें जो नॉनस्टॉप हैं और लागत चार सो  छियासठ  डॉलर से कम है
i would like to fly from denver to boston,मैं डेनवर से बोस्टन तक उड़ना चाहता हूं,,मैं डेनवर से बोस्टन तक उड़ना चाहूंगा
what flights do you have leaving denver and arriving in san francisco,डेनवर छोड़ने और सैन फ्रांसिस्को में आने वाली कौन सी उड़ानें,,आपके पास क्या उड़ानें हैं जो डेनवर छोड़कर सैन फ्रांसिस्को में पहुंचती हैं
what airlines fly from philadelphia to san francisco,"फिलीडेल्फिया से सैन फ्रांसिस्को तक उड़ान भरती हैं,",,एयरलाइंस क्या फिलाडेल्फिया से सैन फ्रांसिस्को के लिए उड़ान भरते हैं
i would like a flight on continental airlines on august twentieth from washington to pittsburgh,"मैं वाशिंगटन से पिट्सबर्ग तक बीसवीं सदी में महाद्वीपीय एयरलाइनों पर एक उड़ान चाहूंगा,",,मैं वॉशिंगटन से पिट्सबर्ग के लिए बीसअगस्त पर कॉन्टिनेंटल   एयरलाइनों पर उड़ान पसंद करूंगा
show me the dinner flights from baltimore to oakland,मुझे बाल्टिमोर से ओकलैंड तक रात्रिभोज की उड़ानें,,मुझे बाल्टिमोर से ओकलैंड के लिए रात के खाने की उड़ानें दिखाएं
show me the last flight on wednesday from atlanta to denver,दिखाएं मुझे अंतिम उड़ान दिखाएं बुधवार अटलांटा से डेन्वर करने के लिए,,मुझे एटलैंटा से डेनेवर तक बुधवार को आखिरी फ्लाइट दिखाएं
i would like to make a round trip between washington and san francisco,मैं वॉशिंगटन और सैन फ्रांसिस्को के बीच एक राउंड ट्रिप करना चाहते हैं,,मैं वॉशिंगटन और सैन फ्रांसिस्को के बीच  गोल यात्रा करना चाहूंगा
how much is the cheapest flight from denver to pittsburgh with a stop in atlanta,कितना अटलांटा में एक को रोकने के साथ डेनवर से सबसे सस्ता उड़ान पिट्सबर्ग के लिए है,,अटलांटा में ठहराव के साथ पिट्सबर्ग के लिए डेनवर से सबसे सस्ती उड़ान कितनी है
what does ord mean,क्या ord मतलब है,,ord का क्या मतलब है
what are connecting flights from chicago to seattle on june first,क्या जून को सिएटल के लिए शिकागो से उड़ानें कनेक्ट हो रहे पहले,,पहले  जून में चिकोगो से सिएटल के लिए  कौन सी  कनेक्ट करने वाली उड़ाने    हैं
how about april twenty seventh denver to washington,तरीके के बारे में वाशिंगटन के लिए बीस सातवें डेनवर,,सताइश अप्रैल पर डेन्वेर से वाशिंगटन के बारे मैं 
what flights go from boston to dallas,बोस्टन से डलास तक कौन सी उड़ानें जाती हैं,,क्या उड़ानें बोस्टन  से डलास तक जाती हैं
what is sa,", एस क्या है",, sa क्या है
can you show me what fares are available from oakland to dallas on december sixteenth one way only,"क्या आप मुझे दिखा सकते हैं कि दिसम्बर को ओकलैंड से डलास तक कौन से किराए उपलब्ध हैं, सोलहवीं एक बार",,क्या आप मुझे दिखा सकते हैं कि ओकलैंड से डलास तक सोलह  दिसंबर पर   कौन से किराए उपलब्ध हैं
show me the round trip tickets from baltimore to atlanta,मुझे केवल बाल्टिमोर से अटलांटा तक राउंड ट्रिप टिकट,,मुझे बैल्टिमोर से अट्लंता तक के राउंड ट्रिप के टिकट दिखाएं
please show me the flights from denver to baltimore between 10 am and 2 pm,"दिखाएं, कृपया मुझे 10 बजे से 2 बजे के बीच डेल्वर से बाल्टिमोर तक उड़ानें दिखाएं, मुझे",,कृपया मुझे  दस से बारह  बजे के बीच डेनवर से बाल्टिमोर तक की उड़ानें दिखाएं
i need a late flight from san francisco to boston on wednesday,सैन से देर से उड़ान की आवश्यकता है फ्रांसिस्को से बुधवार को बोस्टन से,,मुझे सैन फ्रैंसिस्को से बुधवार पर  बोस्टॉन तक देर से उड़ान की आवश्यकता है
i 'd like to go from boston to san francisco,मुझे बोस्टन से सैन फ्रांसिस्को में जाना पसंद है,,मैं बॉस्टन से सैन फ्रांसिस्को जाना चाहता हूं
i need a flight from baltimore to dallas tomorrow morning,"मुझे कल सुबह बाल्टिमोर से डलास तक उड़ान की आवश्यकता है,",,मुझे कल सुबह बाल्टिमोर से डलास के लिए एक उड़ान की आवश्यकता है
what 're the cheapest nonstop flights from new york to miami one way,जो न्यू यॉर्क से मियामी तक सबसे सस्ती नॉनस्टॉप उड़ानें,,क्या नए यॉर्क से मियामी के लिए एक तरफ  से सबसे सस्ती नॉनस्टॉप उड़ानें हैं
list all flights from orlando to kansas city then to minneapolis,"हैं, ऑरलैंडो से कान्सास शहर तक सभी उड़ानों की सूची",,ऑरलैंडो से कान्सास शहर तक के बाद मिनियापोलिस तक सभी फ्लाइट्स को सूचीबद्ध करें
in new york i 'll need to rent a car,न्यू यॉर्क में मिनियापोलिस मुझे एक कार किराए पर लेनी होगी जिसे,,न्यू यॉर्क में मुझे कार किराए पर लेनी होगी
i 'd like to know the earliest flight from boston to atlanta,मैं बोस्टन से अटलांटा तक की सबसे पुरानी उड़ान जानना चाहता हूं,,मैं बस्टन से अट्लंता तक की सबसे पहली उड़ान जानना चाहता हूँ
could you tell me what the earliest flight that goes between atlanta and denver is which serves a meal,क्या आप मुझे बता सकते हैं कि क्या अटलांटा और डेनवर के बीच की जाने वाली सबसे पुरानी उड़ान वह भोजन है जो,,"क्या आप मुझे बता सकते हैं कि सबसे लंबी उड़ान जो कि एटलांटा और डेनवर के बीच है, जो भोजन परोसती है"
show me the flights from san francisco to boston,"मुझे भोजन प्रदान करती है, मुझे सैन फ्रांसिस्को से उड़ानें दिखाने के लिए",,मुझे सैन फ्रांसिस्को से बोस्टोन तक की उड़ानें दिखाएं
what are the flights from pittsburgh to denver,पिट्सबर्ग से डेनवर की उड़ानें क्या हैं,,पिट्सबर्ग से डेनवर तक की उड़ानें क्या हैं
show me all flights from pittsburgh to baltimore on thursday,मुझे पिट्सबर्ग से बाल्टिमोर तक सभी उड़ानें दिखाती हैं,,मुझे पिट्सबर्ग से बाल्टिमोर तक की सभी फ्लाइट्स को गुरुवार को दिखाएं
what time does the flight leave denver going to san francisco on continental airlines,", फ्लाइट छोड़ने के लिए महाद्वीपीय एयरलाइंस पर सैन फ्रांसिस्को जाने के लिए डेनवर किस समय जाता है",,कॉन्टिनेंटल एयरलाइंस पर सैन फ्रांसिस्को जाने वाली फ्लाइट का समय क्या होता है
what are the flights available after 3 pm between denver and san francisco,3 डेन्वर और सैन फ्रांसिस्को के बीच बजे,,डेनवर और सैन फ्रांसिस्को के बीच दोपहर  तीन   बजे के बाद कौन सी उड़ानें उपलब्ध हैं
show me the flights from baltimore to boston,मुझे बोस्टन के लिए बाल्टीमोर से उड़ानें दिखा,,मुझे बाल्टिमोर से बॉस्टन तक की उड़ानें दिखाएं
flights from pittsburgh to newark,नेवार्क के लिए पिट्सबर्ग से उड़ानें,,पिट्सबर्ग से नेवार्क के लिए उड़ानें
what flight from boston to atlanta arrives earliest in atlanta,अटलांटा के लिए बोस्टन से क्या उड़ान अटलांटा में जल्द से जल्द आता है,,बोस्टन  से अट्लंता तक जाने वाली कौन सी फ्लाइट जल्द से जल्द अटलांता पहुंचती है
what is the schedule for flights between pittsburgh and boston on the evening of july ninth,क्या जुलाई नौवें की शाम को पिट्सबर्ग और बोस्टन के बीच उड़ानों शेड्यूल दिया गया है,,जुलाई नौ की शाम को पिट्सबर्ग और बॉस्टन के बीच उड़ानों का कार्यक्रम क्या है
i 'd like to fly from boston to oakland through denver,i 'करना चाहते हैं बोस्टन से ओकलैंड से डेनवर के माध्यम से उड़ान भरें,,मैं बोस्टन  से ओकलैंड डेन्वेर   के माध्यम से उड़ना चाहता हूं
can you list all flights leaving from st. louis and arriving in milwaukee,क्या आप सेंट से निकलने वाली सभी उड़ानों को सूचीबद्ध कर सकते हैं। लुईस और मिल्वौकी में पहुंचे,,क्या आप सेंट लूइस  से निकलने वाली और मिल्वौकी में  पहुंचने वाली  सभी फ्लाइट्स को सूचीबद्ध कर सकते हैं।
show me flights from atlanta to washington dc leaving on thursday,मुझे को अटलांटा से वाशिंगटन डीसी तक उड़ानें दिखाएं,,मुझे गुरुवार  पर छोड़ने के लिए एटलैंटा से वॉशिंगटन डीसी तक की उड़ानें दिखाएं
show me all flights from san francisco to boston philadelphia or baltimore,से फीनिक्स से लास वेगास तक शनिवार को से कम,,मुझे सैन फ्रांसिस्को से बस्टोन फिलाडेल्फिया या बाल्टिमोर तक सभी उड़ानें दिखाएं
show me the flights arriving at love field,दिखाएं मुझे सैन फ्रांसिस्को से बोस्टन फिलाडेल्फिया या बाल्टिमोर की सभी उड़ानें,,मुझे लव फील्ड  में आने वाली उड़ानों को दिखाएं
do you have a night flight from washington to boston on august twenty seventh,मुझे प्यार क्षेत्र में आने वाली उड़ानें दिखाती हैं,,क्या आपके पास वाशटन से बोस्टन तक की  रात की उड़ान है जो सत्ताईस अगस्त  पर है
show me all flights from san diego to dulles on boeing 767,क्या आपके पास वाशिंगटन से,,767 बोइंग पर सैन डिएगो से डलास  तक की सभी उड़ानें मुझे दिखाएं
what are the flights from boston to philadelphia,"बूस्टॉन तक रात की उड़ान है, मुझे बीस सातवें स्थान पर दिखाएं कि मुझे सैन डिएगो से बोइंग पर डुलल्स की सभी उड़ानें दिखाएं 767",, बोस्टन से फिलाडेल्फिया तक की उड़ानें क्या हैं
all round trip flights between new york and miami coach fare,बोस्टन से फिलाडेल्फिया की उड़ानें क्या हैं,,न्यू यॉर्क और मियामी कोच किराया के बीच सभी गोल यात्रा उड़ानें
i 'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon,जो न्यू यॉर्क और मियामी कोच किराया के बीच सभी राउंड ट्रिप उड़ानें हैं,,मैं कंसास शहर से लॉस एंजिल्स के लिए उड़ान पसंद करूँगा  जो देर दोपहर में लॉस एंजिल्स में आता है
i 'd like a cheap flight from dallas to baltimore on january first,I देर से दोपहर में लॉस एंजिल्स में आने वाले कैनसस शहर से लॉस एंजिल्स की उड़ान,,मैं पहले जनुअरी पर  डलास से बाल्टिमोर तक सस्ती उड़ान पसंद करूँगा 
round trip fares from denver to philadelphia under 1000 dollars and pittsburgh to philadelphia under 1000 dollars,मैं डलास से बाल्टिमोर तक जनवरी की पहली,,डेनवर से फिलाडेल्फिया तक एक हज़ार  डॉलर और पिट्सबर्ग से फिलाडेल्फिया तक v डॉलर के तहत राउंड ट्रिप का किराया
from phoenix to las vegas on saturday,राउंड ट्रिप किराए पर डेनवर से फिलाडेल्फिया से 1000 डॉलर के नीचे और पिट्सबर्ग से फिलाडेल्फिया तक 1000 डॉलर के नीचे,,शनिवार को फीनिक्स से लास वेगास तक
my destination is san francisco i live in denver i would like a flight on august thirtieth in the morning on any airline that will get me there,मेरी गंतव्य है सैन फ्रांसिस्को मैं डेनवर में रहता हूं मैं सुबह में तीसरी बार किसी भी एयरलाइन पर उड़ान भरना,,मेरी मंजिल सैन फ्रांसिस्को है मैं डेनिवर में रहता हूं मैं किसी भी एयरलाइन पर सुबह में  तीसअगस्त  पर एक उड़ान चाहता हूं जो मुझे वहां मिलेगा
show me the flights on delta from atlanta in the morning,चाहता हूं जो मुझे वहां पहुंचाएगा सुबह सुबह अटलांटा से डेल्टा पर उड़ानें दिखाएगा,,मुझे सुबह  एटलांटा  से डेल्टा की उड़ानें दिखाओ
i would like to fly from denver to pittsburgh,"उड़ान भरना पड़ेगा जो जाएगा, मैं डेनवर से पिट्सबर्ग तक उड़ना मैं",,मैं डेनवर से पिट्सबर्ग तक उड़ान भरना चाहूंगा
how can i get from indianapolis to montreal in the evening,शाम की,,मैं शाम को  इंडियनपोलिस  से मॉन्ट्रियल कैसे जा सकता हूं
list all arrivals from any airport to baltimore on thursday morning arriving before 9 am,सूची में इंडियानापोलिस से मॉन्ट्रियल कैसे प्राप्त कर सकता हूं 9 बजे से पहले आने वाले गुरुवार सुबह किसी भी हवाई अड्डे से बाल्टिमोर आगमन से,,किसी भी हवाई अड्डे से बाल्टिमोर तक सभी आगमन की सूची गुरुवार सुबह नौ  बजे से पहले  पहुंचने वाली 
show me the flights from miami to san diego with one stop in denver,"मुझे मियामी से सैन डिएगो की उड़ानें दिखाती हैं, डेनवर में एक स्टॉप के साथ",,डेनवर में  स्टॉप के साथ मुझे मियामी से सैन डिएगो तक की उड़ानें दिखाएं
tell me the last flight from atlanta to philadelphia,मुझे बताएं कि अटलांटा से फिलाडेल्फिया तक की आखिरी उड़ान मुझे बताती है कि,,मुझे अटलाँटा से फिलाडेल्फिया तक की अंतिम उड़ान बताइए
are there any flights between pittsburgh and baltimore using a j31 aircraft,क्या एक जेट 31 विमान का उपयोग कर पिट्सबर्ग और बाल्टिमोर के बीच कोई उड़ान,,पिट्सबर्ग और बाल्टिमोर के बीच जे 31 विमान का उपयोग करके कोई उड़ानें हैं
may i please see airlines and flight numbers from new york to toronto on the same date june seventeenth also arriving in toronto before noon thank you,"हो सकती है। कृपया न्यू यॉर्क से टोरंटो तक एयरलाइनों और फ्लाइट नंबरों को उसी तारीख को देखें, सत्रहवीं सदीह भी दोपहर से पहले टोरंटो पहुंच रही है, धन्यवाद",,"क्या मैं कृपया एक ही तारीख पर टर्की से न्यू यॉर्क के लिए एयरलाइंस और फ्लाइट नंबर देख सकता हूं, सत्रह  जून पर जो दोपहर से पहले ही टोरोंटो में आ जाता है।"
what are the flights from boston to orlando,", बोस्टन से ऑरलैंडो की उड़ानें क्या हैं",,बस्टन से ऑरलैंडो तक की उड़ानें क्या हैं
i need a flight from baltimore to seattle that stops in minneapolis,मुझे बाल्टिमोर से सिएटल की उड़ान जो मिनियापोलिस में रुकती,,मुझे बाल्टिमोर से सिएटल की उड़ान की आवश्यकता है जो मिनियापोलिस में रुकती है
what ground transportation is available in boston,है बोस्टन में जमीन परिवहन क्या उपलब्ध है,,क्या जमीन परिवहन बोस्टन में उपलब्ध है
what is the latest return flight from atlanta to boston,अटलांटा से बोस्टन तक की नवीनतम वापसी उड़ान क्या है,,एटलांटा से बोस्टोन के लिए नवीनतम वापसी उड़ान क्या है
could you tell me about flights from philadelphia to dallas that arrives in the early afternoon,क्या आप मुझे फिलाडेल्फिया से डलास तक उड़ानों के बारे में बता सकते हैं जो शुरुआती दोपहर में आता है,,क्या आप मुझे फिलाडेल्फिया से डलास तक की उड़ानों के बारे में बता सकते हैं जो दोपहर में आती हैं
i need information on flights from kansas city missouri to salt lake city utah i am interested in only those flights on delta airlines,"मुझे कैनसस शहर मिसौरी से नमक झील शहर यूटा तक उड़ानों की जानकारी चाहिए, मुझे केवल डेल्टा एयरलाइंस पर उड़ानों में दिलचस्पी है,",,"मुझे कंसास शहर मिसौरी से साल्ट लेक सिटी उटाह  की उड़ानों के बारे में जानकारी चाहिए, मुझे केवल डेल्टा  एयरलाइनों की उड़ानों में दिलचस्पी है"
i would like a flight from oakland to philadelphia at one in the afternoon arriving at 5 pm,मैं ओकलैंड से फिलाडेल्फिया तक उड़ान भरना चाहता हूं 5 बजे पहुंचने वाली दोपहर में,,मैं दोपहर एक बजे ओकलैंड से फ़िलाडेल्फ़िया के लिए शाम पांच  बजे पहुंचने वाली  उड़ान चाहूंगा
is there a round trip flight from atlanta to dallas via denver,"एक बार अटलांटा से डलास के माध्यम से एक यात्रा यात्रा उड़ान है,",,वहाँ एक दौर यात्रा है atlanta से डेनवर के माध्यम से डलास के लिए 
show me the flights before 8 am on august second from boston to denver on delta,"मुझे डेल्वर के माध्यम से सुबह 8 बजे से पहले उड़ानें दिखाती हैं, बोल्टन से डेनवर पर डेल्टा से दूसरी बार",,डेल्टा से डेनवर से बोस्टन से दूसरी सुबह आठ बजे से पहले मुझे उड़ानें दिखाएं
what flights are there from baltimore to newark,बाल्टिमोर से नवार्क तक,,बाल्टिमोर से नेवार्क तक कौन सी उड़ानें हैं
show me all round trip flights between houston and las vegas,की उड़ानें मुझे सभी राउंड ट्रिप उड़ानें दिखाती हैं हॉस्टन और लास वेगास के बीच,,मुझे हॉस्टन और लास वेगास के बीच सभी दौर की यात्रा उड़ानें दिखाएं
what flights from pittsburgh to newark after 1020 pm,दिखाएंगी 1020 बजे के बाद पिट्सबर्ग से नेवार्क तक की उड़ानें,,रात दस बज के बिष मिनट  के बाद पिट्सबर्ग से नेवार्क के लिए क्या उड़ानें
how much does it cost to fly from atlanta to san francisco,अटलांटा से सैन फ्रांसिस्को तक उड़ान भरने के लिए कितना खर्च होता है,,एटलैंटा से सैन फ्रेंकोस्को तक उड़ान भरने में कितना खर्च होता है
what are the flights from san francisco to denver,सैन फ्रांसिस्को से डेनवर की उड़ानें क्या हैं,,सैन फ्रांसिस्को से डेनवर तक की उड़ानें क्या हैं
